captured_at_utc,type,timestamp_utc,count,uniques
2026-03-28T05:56:12.740165+00:00,clone,2026-03-13T00:00:00Z,21,12
2026-03-28T05:56:12.740165+00:00,clone,2026-03-14T00:00:00Z,39,19
2026-03-28T05:56:12.740165+00:00,clone,2026-03-15T00:00:00Z,3,3
2026-03-28T05:56:12.740165+00:00,clone,2026-03-16T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,clone,2026-03-17T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,clone,2026-03-18T00:00:00Z,10,2
2026-03-28T05:56:12.740165+00:00,clone,2026-03-19T00:00:00Z,18,8
2026-03-28T05:56:12.740165+00:00,clone,2026-03-20T00:00:00Z,20,10
2026-03-28T05:56:12.740165+00:00,clone,2026-03-21T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,clone,2026-03-22T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,clone,2026-03-23T00:00:00Z,1,1
2026-03-28T05:56:12.740165+00:00,clone,2026-03-24T00:00:00Z,9,3
2026-03-28T05:56:12.740165+00:00,clone,2026-03-25T00:00:00Z,2,2
2026-03-28T05:56:12.740165+00:00,clone,2026-03-26T00:00:00Z,1,1
2026-03-28T05:56:12.740165+00:00,view,2026-03-13T00:00:00Z,8,1
2026-03-28T05:56:12.740165+00:00,view,2026-03-14T00:00:00Z,11,1
2026-03-28T05:56:12.740165+00:00,view,2026-03-15T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,view,2026-03-16T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,view,2026-03-17T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,view,2026-03-18T00:00:00Z,4,1
2026-03-28T05:56:12.740165+00:00,view,2026-03-19T00:00:00Z,11,1
2026-03-28T05:56:12.740165+00:00,view,2026-03-20T00:00:00Z,18,1
2026-03-28T05:56:12.740165+00:00,view,2026-03-21T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,view,2026-03-22T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,view,2026-03-23T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,view,2026-03-24T00:00:00Z,20,3
2026-03-28T05:56:12.740165+00:00,view,2026-03-25T00:00:00Z,0,0
2026-03-28T05:56:12.740165+00:00,view,2026-03-26T00:00:00Z,0,0
